ds,y,holiday_flg,year,month,quarter,w_monday,w_tuesday,w_wednesday,w_thursday,w_friday,w_saturday,w_sunday,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016/1/4,34,0,2016,1,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,16.5,7.4,0,6.7,9.19,1.8,10.8,1019,83,1020.8,4
2016/1/5,25,0,2016,1,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9.9,12.4,8.3,1,0,1.46,1.5,9.2,1021.2,76,1023,10
2016/1/6,41,0,2016,1,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9.5,12,7.2,0.027777777777777776,0,4.4,1.4,8.9,1019.4,76,1021.2,9.5
2016/1/7,30,0,2016,1,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9.1,10.4,8.4,0,0.4,3.62,3.6,6.7,1019.5,58,1021.3,9.5
2016/1/8,47,0,2016,1,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7.5,8.8,6.7,0,0,1.44,3.8,6.1,1019.2,59,1021.1,10
2016/1/9,24,0,2016,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7.9,9.1,7.1,0,0.2,3.8,2.4,5.8,1022.1,54,1024,10
2016/1/10,29,0,2016,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.9,10.9,5.4,0,3.8,7.25,2,6.8,1023,64,1024.8,7.3
2016/1/11,25,1,2016,1,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.3,12.1,5.1,0,1,6.32,2.3,6.9,1020.1,63,1021.9,9.5
2016/1/12,33,0,2016,1,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7.5,9.2,5,1,0.4,3.27,2.2,6.9,1017.2,67,1019.1,8
2016/1/13,24,0,2016,1,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5.8,7.3,3.6,2,1,3.71,3.2,5.8,1017.5,63,1019.4,9.5
2016/1/14,24,0,2016,1,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6.7,8.8,4.2,0,1.7,6.32,3.4,5.5,1019.2,56,1021.1,8
2016/1/15,45,0,2016,1,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5.8,11,2.4,0,9,12.61,1.7,5,1019.5,56,1021.4,2.3
2016/1/16,30,0,2016,1,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7.5,12.9,2.3,0,7.8,11.99,1.9,5.5,1019.6,55,1021.4,3
2016/1/17,23,0,2016,1,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7.1,9.2,4.6,25.5,0,1.3,1.8,8.2,1012,82,1013.9,9.8
2016/1/19,19,0,2016,1,19,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.3,3.2,1,3,0.1,3.2,6.6,4.5,1016.2,62,1018.1,10
2016/1/20,40,0,2016,1,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2.7,5.6,0.7,0,2.2,5.89,3.3,4.3,1023.9,58,1025.8,7.5
2016/1/21,24,0,2016,1,21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2.8,6.4,0,0,0.1,4.14,2.1,5.6,1022.2,74,1024.1,8.8
2016/1/22,50,0,2016,1,22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5.8,8.4,2.8,2,1,4.04,2.3,7.2,1022.7,77,1024.6,6.8
2016/1/23,29,0,2016,1,23,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3.5,5.6,0.1,7,0,1.08,3.3,6.3,1022,79,1023.9,10
2016/1/26,21,0,2016,1,26,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4.4,7,1.9,1,0.2,1.99,1.9,6.9,1025.5,83,1027.4,10
2016/1/27,35,0,2016,1,27,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.6,10,3.7,0,0.2,5.16,1.6,7.6,1028.2,79,1030.1,10
2016/1/28,21,0,2016,1,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,8.3,11.9,6.5,6,0,0.82,1.4,10,1024.4,90,1026.2,10
2016/1/29,39,0,2016,1,29,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,14.5,10,31,0,1.4,2.1,12.9,1015.9,98,1017.7,10
2016/1/30,35,0,2016,1,30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10.8,14.8,8.5,1,7.2,14.03,3.5,10.1,1018.7,79,1020.5,6.5
2016/1/31,36,0,2016,1,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9.5,12.6,7.5,0.5,5.4,10.29,2.1,8.7,1023.2,74,1025,9.3
2016/2/1,25,0,2016,2,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.3,9.4,5.2,0.5,0.1,2.5,2.2,7.3,1021.7,71,1023.6,10
2016/2/2,23,0,2016,2,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6.3,9.9,4.7,0,2.5,8.6,2.7,6.2,1021.7,66,1023.6,9.8
2016/2/3,33,0,2016,2,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6.8,10.5,3.5,2,2.9,9.24,2.4,7.3,1023.2,75,1025.1,6.8
2016/2/4,31,0,2016,2,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6.4,10.8,2.1,0,6.5,12.35,2.3,6.1,1022.6,64,1024.5,7
2016/2/5,44,0,2016,2,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.5,10.8,3.9,0,3.5,8.79,1.9,6.1,1019.3,64,1021.2,7.3
2016/2/6,26,0,2016,2,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6.1,7.5,3.8,0,0.7,5.53,3.7,5.2,1018,55,1019.9,10
2016/2/8,26,0,2016,2,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.5,9.8,1.7,0,4,11.53,2.8,6,1017.7,63,1019.5,7.3
2016/2/9,40,0,2016,2,9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9.5,12.7,5.4,0,9.6,16.91,4.2,5,1019,43,1020.9,1.8
2016/2/10,34,0,2016,2,10,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7.6,13.6,3.1,0,9.8,17.2,2.1,6,1024.2,59,1026.1,0.5
2016/2/11,42,1,2016,2,11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10.4,16.6,4.1,0,8.4,14.79,1.8,7,1025.2,57,1027,7.5
2016/2/12,22,0,2016,2,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14.9,18.8,10.2,0,0.7,4.15,3.4,10.5,1020.1,62,1021.9,9.5
2016/2/13,23,0,2016,2,13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.1,20.6,14,30.5,1.4,6.52,3,17.4,1009.7,89,1011.5,10
2016/2/15,34,0,2016,2,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4.2,5.7,3.1,0,2.1,7.67,4.7,4.3,1016.3,52,1018.2,10
2016/2/16,38,0,2016,2,16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5.1,7.6,2.7,0.5,0.4,4.09,3.7,5.6,1018.2,63,1020.1,10
2016/2/17,53,0,2016,2,17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5.6,8,1.8,0,1.7,6.22,2.9,5.4,1022.2,60,1024.1,6
2016/2/18,32,0,2016,2,18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6.7,12.7,1.5,0,4.5,12.91,2.1,6.2,1023.6,64,1025.5,6.5
2016/2/19,38,0,2016,2,19,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10.3,14,5.2,0.5,2.3,7.56,1.7,8.3,1025.2,67,1027,7.5
2016/2/20,55,0,2016,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,11.5,7.3,32,0,3.26,3.1,10.3,1017.3,90,1019.1,10
2016/2/21,25,0,2016,2,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6.7,9.5,3.3,3.5,9.5,18.67,4.7,5.1,1026.4,52,1028.3,5.3
2016/2/22,26,0,2016,2,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.4,10.1,2.8,2,0,6.9,1.5,5.3,1028.2,56,1030.1,10
2016/2/23,27,0,2016,2,23,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8.3,13.6,5.9,2,5.2,11.53,2.1,8.5,1024.3,78,1026.2,8.3
2016/2/25,32,0,2016,2,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4.7,8.3,1.7,4,3.1,9.14,3.2,5.8,1030.4,69,1032.3,10
2016/2/26,55,0,2016,2,26,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5.8,11,0.5,0,8.3,14.55,2.1,5.2,1029.2,58,1031.1,6.3
2016/2/27,26,0,2016,2,27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8.9,14.8,5.3,1.5,2.2,7.26,2.7,8.1,1024.2,70,1026.1,7.3
2016/2/28,25,0,2016,2,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,18.3,7.4,2.5,9.9,18.02,2.9,9.6,1020.3,67,1022.2,2.5
2016/2/29,32,0,2016,2,29,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.4,14.5,2.6,2,3.3,10.85,5.7,5.6,1020.6,56,1022.4,8.3
2016/3/1,29,0,2016,3,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,7.2,2.4,0,4.8,13.32,3.2,4.3,1025.1,52,1027,7.3
2016/3/2,30,0,2016,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7.2,13.1,2,0,9.6,19.81,2.4,6,1025.2,60,1027.1,2
2016/3/3,48,0,2016,3,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,11.1,18.7,4.9,0,10.5,19.66,2.3,8.4,1024.2,64,1026.1,1
2016/3/4,32,0,2016,3,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.4,21.1,11.4,0,4.1,11.8,2.3,12,1024.5,69,1026.3,9.3
2016/3/5,38,0,2016,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.8,23.6,11.2,0,10.1,18.45,3.8,11.5,1021.8,59,1023.6,0.8
2016/3/6,28,0,2016,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,17.2,21.8,14.1,1,1.9,6.58,2.7,14.3,1016.6,74,1018.4,10
2016/3/7,18,0,2016,3,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.7,17.6,13.3,0,0.2,6.85,2.1,15.3,1015.4,91,1017.2,8
2016/3/8,32,0,2016,3,8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13.9,19.1,11.6,0,3.3,9.85,2.9,12.1,1016.3,76,1018.1,5.5
2016/3/9,24,0,2016,3,9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,10.3,12.5,8.9,39,0,1.86,5,10.7,1013.9,86,1015.7,10
2016/3/10,25,0,2016,3,10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9.7,12.1,6.9,0.5,0.3,4.56,3.9,8.7,1017.9,72,1019.7,10
2016/3/11,31,0,2016,3,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6.7,9.2,4.9,5.5,0.6,5.87,3.2,7.1,1019.9,72,1021.8,10
2016/3/12,3,0,2016,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5.9,9.8,2.7,0,1,7.5,2,7.1,1022.2,77,1024.1,9.3
2016/3/14,31,0,2016,3,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8.8,12.9,6.1,4.5,1.6,9.54,3.9,8.3,1016.2,74,1018,8
2016/3/15,28,0,2016,3,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9.9,14.4,7.5,0,8.7,21.2,3.2,6.7,1020.8,55,1022.7,7.5
2016/3/16,52,0,2016,3,16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11.2,18,6.8,0,6.9,15.52,1.9,8.7,1020.4,66,1022.3,7.5
2016/3/17,26,0,2016,3,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13.6,20.6,7,0,10.3,22.28,2.1,9.3,1019.2,62,1021.1,3.8
2016/3/18,30,0,2016,3,18,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.6,18,13,5,0.4,5.07,3.3,14.2,1010.4,80,1012.2,10
2016/3/19,31,0,2016,3,19,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,14.3,17.4,10.6,2.5,3.7,10.2,3.5,14.1,1010.6,86,1012.4,5.8
2016/3/20,13,1,2016,3,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11.6,16.2,8.9,0,10.8,22.42,4.5,8.4,1018,61,1019.8,0
2016/3/21,38,1,2016,3,21,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.3,15.1,6.9,0,8.9,22.64,3.6,7.2,1020.8,58,1022.6,2.5
2016/3/22,33,0,2016,3,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11.4,18.3,3.9,0,11.3,23.65,2.1,8.6,1017.4,63,1019.2,2
2016/3/23,35,0,2016,3,23,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12.5,17.6,8.6,0,5.1,16.05,3.3,10.5,1014.9,73,1016.7,7.3
2016/3/24,19,0,2016,3,24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,10.5,14,8.3,0,4.8,14.24,5.2,7.4,1018.5,58,1020.3,8.8
2016/3/25,49,0,2016,3,25,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9.3,13.8,5.9,0,10.3,19.74,3.8,5.9,1021.6,51,1023.4,3.5
2016/3/26,25,0,2016,3,26,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10.1,16.4,4.6,0,9.1,22.5,2.7,6.3,1019,53,1020.8,6.5
2016/3/27,47,0,2016,3,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10.1,14.2,7.1,0,6.4,17.64,2.9,6.6,1018.1,54,1019.9,3.8
2016/3/28,33,0,2016,3,28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11.4,17.8,5.9,0.027777777777777776,10.9,21.96,2.6,6.5,1020.8,50,1022.6,0
2016/3/29,50,0,2016,3,29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13.8,18.3,8.4,0,3.2,13.09,3,8.1,1022,52,1023.8,7.5
2016/3/30,25,0,2016,3,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16.3,20.3,13.3,0,0.7,8.16,2.5,13.1,1018.8,71,1020.6,10
2016/3/31,47,0,2016,3,31,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,18.5,13,8.5,0.9,7.99,1.9,13.6,1015,81,1016.8,9.8
2016/4/1,37,0,2016,4,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,14.6,16.9,13.1,0.5,0.2,5.88,2.7,15.3,1011.8,92,1013.6,10
2016/4/2,30,0,2016,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.3,21.8,14.3,0.05263157894736842,8.4,19.49,1.9,15.4,1017.5,79,1019.3,10
2016/4/3,24,0,2016,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,18.2,23.7,16.1,4.5,1,9.1,2,16.5,1014.8,80,1016.6,10
2016/4/4,28,0,2016,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,16.5,13.6,15.5,0,5.49,3.9,15.5,1009.3,90,1011.1,10
2016/4/5,47,0,2016,4,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15.1,19.9,11.6,0,8.5,21.1,2.3,12.5,1014.5,74,1016.3,7.5
2016/4/6,41,0,2016,4,6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,15.9,20.6,11.1,2.5,4.9,15.29,2,12.8,1014.8,71,1016.6,10
2016/4/7,32,0,2016,4,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,18.5,24.1,14.1,37.5,0,1.67,3.7,19.5,1006.1,91,1007.8,10
2016/4/8,37,0,2016,4,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15.7,20.4,13,0,5.4,15.75,1.7,15.4,1013.4,87,1015.2,9.3
2016/4/9,35,0,2016,4,9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17.2,23.3,12.9,0,7.7,19.46,1.8,12.8,1013,67,1014.7,9.5
2016/4/10,40,0,2016,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16.8,22.4,14,0,4.6,16.16,2.5,13.8,1010.8,73,1012.6,10
2016/4/11,44,0,2016,4,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.2,17.9,10.6,0,8.1,21.19,5.4,10.7,1016.6,66,1018.4,8.5
2016/4/12,33,0,2016,4,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15.6,22.1,9.2,0,7.6,20.55,2.4,9.9,1015.2,55,1017,8.3
2016/4/13,26,0,2016,4,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,17,20.5,14.9,22,1.8,5.22,3.6,13.9,1006.5,72,1008.3,10
2016/4/14,32,0,2016,4,14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17.5,21.5,15.6,0,7.4,20.15,2.3,17.3,1008.1,87,1009.9,5.8
2016/4/15,56,0,2016,4,15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16.8,21.6,13.6,0,11.4,25.81,3.1,13,1016.8,69,1018.6,3.8
2016/4/16,37,0,2016,4,16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,19,25.6,13.6,2,5.5,15.81,3.7,10.1,1011.6,50,1013.4,9.3
2016/4/17,29,0,2016,4,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,17.5,20.8,13.6,10,10.6,26.57,5.1,12.8,1007.4,64,1009.2,3.8
2016/4/18,29,0,2016,4,18,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15.2,17.6,12.1,0,0.3,9.15,2.2,9.2,1014.9,54,1016.7,9.5
